sep=|
Open?|Time|Days of Week|Location|Dates|CRN|Subject|Course #|Section|Campus|Credits|Course Title|Seats Remaining|Waitlist Actual|Waitlist Remaining|Instructor(s)|
false|TBA| |TBA|Jan 06, 2014 - May 13, 2014|12496|ACTV|1030|-|Q|1.000~4.000|JOURNAL CIVIL RIGHTS &ECON DEV|0|0|0|TBA|
false|||||12497|ACTV|1040|-|Q|1.000~4.000|LAW REVIEW/CATHOLIC LAWYER|0|0|0|TBA|TBA|
false|||||12498|ACTV|1050|-|Q|1.000~4.000|MOOT COURT|0|0|0|TBA|TBA|
false|TBA| |LAW SCHOOL |Jan 06, 2014 - May 13, 2014|12499|ACTV|1060|-|Q|1.000~4.000|NY INTERNATIONAL LAW REVIEW|0|0|0|TBA|
false|||||12500|ACTV|1070|-|Q|1.000~4.000|F.S. OLESTINO TRIAL ADV. INST|0|0|0|TBA|TBA|
false|||||12786|ACTV|1080|-|Q|1.000~4.000|DISUTE RESOLUTION SOCIETY|0|0|0|TBA|TBA|
false|10:40 am - 12:05 pm|MR|D'ANGELO CENTER 310|Jan 22, 2014 - May 13, 2014|12053|ACT|3322|0|Q|3.000|ACTUARIAL SCIENCE II|12|0|0|Albert J.  Beer (P)|
false|10:40 am - 12:05 pm|MR|DASILVA  ACADEMIC CENTER 208|Jan 22, 2014 - May 13, 2014|15771|ACT|3322|0|S|3.000|ACTUARIAL SCIENCE II|-2|0|0|TBA|
false|9:05 am - 10:30 am|MR|D'ANGELO CENTER 310|Jan 22, 2014 - May 13, 2014|12052|ACT|3333|0|Q|3.000|ACTUARIAL SCIENCE III|12|0|0|Albert J.  Beer (P)|
false|9:05 am - 10:30 am|MR|DASILVA  ACADEMIC CENTER 208|Jan 22, 2014 - May 13, 2014|15770|ACT|3333|0|S|3.000|ACTUARIAL SCIENCE III|-2|0|0|TBA|
false|9:05 am - 10:30 am|TF|MURRAY HALL 219|Jan 22, 2014 - May 13, 2014|11217|ACT|3335|0|M|3.000|ACTUARIAL SCIENCE V|20|0|0|Srinivasa   Ramanujam (P)|
false|10:40 am - 12:05 pm|TF|MURRAY HALL 219|Jan 22, 2014 - May 13, 2014|11218|ACT|4348|0|M|3.000|ACTUARIAL SCIENCE VIII|22|0|0|Srinivasa   Ramanujam (P)|
false|1:50 pm - 3:15 pm|TF|MURRAY HALL 219|Jan 22, 2014 - May 13, 2014|11219|ACT|4349|0|M|3.000|ACTUARIAL SCIENCE IX|22|0|0|Ping   Wang (P)|
false|2:00 pm - 3:25 pm~1:20 pm - 2:45 pm|M~W|LAW SCHOOL 1-13~LAW SCHOOL 1-13|Jan 06, 2014 - May 13, 2014~Jan 06, 2014 - May 13, 2014|12364|ADGV|1000|801|Q|3.000|ADMINISTRATIVE LAW|90|0|30|Anita S.  Krishnakumar Tucker (P)|
false|6:25 pm - 8:25 pm|M|LAW SCHOOL 2-25|Jan 06, 2014 - May 13, 2014|15528|ADGV|1030|0|Q|2.000|LOCAL GOVERNMENT LAW|20|0|10|Scott   Mandel (P)|
false|11:10 am - 12:35 pm|MW|LAW SCHOOL 2-22|Jan 06, 2014 - May 13, 2014|13149|ADGV|1060|801|Q|3.000|LEGISLATION STATUTORY INTERET|20|0|10|Anita S.  Krishnakumar Tucker (P)|
